매장명,주소
울산동구현대,"울산 동구 방어진순환도로 899 (서부동, 현대백화점), 지하1층"
울산온양,울산 울주군 온양읍 온양로 105 (대안리)
울산전하,울산 동구 전하로 2
울산대송시장,울산 동구 화정동 847-6
울산동구홈플러스,울산 동구 방어진순환도로 637 홈플러스 지하1층
울산방어진,울산 동구 방어동 1157-6
인천동양,인천 계양구 동양동 640
인천검단금호,"인천 서구 이음1로 389 (원당동) A플러스타워 104, 105호"
부평부개,인천 부평구 길주남로 175 신명보람 아파트 상가
부평미래타운,인천 부평구 부평북로 442
부개역남부,인천 부평구 경인로 1075 (부개동) 1층
서창1지구,인천 남동구 서창동 543-2
부평하늘채,"인천 부평구 동수천로 132 (부개동, 부개빌딩)"
인천서창,인천 남동구 서창동 664-1
인천계산,인천 계양구 도두리로 33
인천계양구청,인천 계양구 계산새로 93
부평삼산,인천 부평구 체육관로 24 청호빌딩
인천임학역,인천 계양구 장제로 881
부평삼산사거리,"인천 부평구 평천로 392 (삼산동, 선우프라자)"
인천만수시장,인천 남동구 만수서로 87
인천만수,"인천 남동구 장승남로 44 (만수동, 명진프라자)"
인천만수역,"인천 남동구 만수동 956 1층, 105호, 106호"
부평구청,인천 부평구 부평동 889-6
부평명동,인천 부평구 시장로 19
부평역남부,"인천 부평구 경인로 947 (부평동, 태성메디칼)"
부평역광장,인천 부평구 부평동 738-21 부평역광장 1층
부평동아,인천 부평구 부평문화로 52 (부평동)
인천갈산역,인천 부평구 평천로 286 (갈산동)
인천작전역,인천 계양구 계양대로 44 덕용프라자
작전홈플러스,"인천 계양구 계양대로 27 (작전동, HOME PLUS 작전점)"
인천계산역,인천 계양구 계산동 931-56
경인교대역,인천 계양구 계산로 89 (계산동)
간석벽산,인천 남동구 호구포로 917
부평산곡,인천 부평구 원적로 434 혜성프라자
인천소래,인천 남동구 포구로 77 (논현동)
인천백운역,인천 부평구 경원대로 1260 (산곡동)
인천효성,인천 계양구 효성동 60-4
인천간석,인천 남동구 남동대로 881 (간석동)
인천청천,인천 부평구 마장로 388
산곡한화,인천 부평구 산곡동 100-80
구월아시아드,"인천 남동구 인하로 (구월동) 568 아시아드타워 108,109호"
논현홈플러스,인천 남동구 청능대로 596 (논현동) 지하 1층
인천동암역,인천 부평구 십정동 402-54 1층 2호
인천논현,인천 남동구 논고개로123번길 34 (논현동)
인천구월CGV,"인천 남동구 예술로 198 (구월동, CGV 홈플러스) 씨앤씨빌딩 2층"
인천논현에코,인천 남동구 논현동 한화에코메트로 7단지 701동 앞
인천구월중앙로,인천 남동구 구월동 1467 해동빌딩 101호
간석역남부,인천 미추홀구 주안동 1617 벽산단지내상가 120호
인천관교,인천 남동구 문화로 59 (구월동)
인천호구포역,"인천 남동구 호구포로 221 (논현동, 남동메디칼센터)"
간석홈플러스,인천 남동구 경원대로 971 2층
인천선학역,인천 연수구 학나래로118번길 47 (선학동)
인천석바위,"인천 미추홀구 경원대로 851 (주안동, 국도극장) 1층"
인천가좌,인천 서구 원적로 103
인천원당,인천 서구 원당대로 876 희림타워
주안역북부,인천광역시 미추홀구 주안5동 25-39
전남담양,전남 담양군 담양읍 지침3길 11 (지침리)
전남장성,전남 장성군 장성읍 영천리 1039-9
전남영광,전남 영광군 영광읍 신남로 203
전남구례,전남 구례군 구례읍 봉남리 204-1
화순광덕,전남 화순군 화순읍 중앙로 93 (만연리)
나주남평,전남 나주시 남평읍 동사리 362-3
전남함평,전남 함평군 함평읍 기각리 882-1
전남나주,전남 나주시 중앙동 24
나주빛가람,전남 나주시 전력로 2
나주혁신,전남 나주시 그린로 198 (빛가람동)
전남무안,전남 무안군 무안읍 면성1길 107
순천삼산,전남 순천시 석현동 213-1
순천법원,전남 순천시 왕지동 863-1
전남광양읍,전남 광양시 광양읍 희양현로 52 (인동리)
순천홈플러스,전남 순천시 신월큰길 10 순천홈플러스 2층 배스킨라빈스
광양창덕,전남 광양시 광양읍 용강로 29 (용강리)
순천중앙,전남 순천시 중앙동 85-11
순천왕지,"전남 순천시 왕궁길 43 (조례동, 미니스톱)"
순천연향,전남 순천시 연향동 1336-4
순천금당,전남 순천시 연향동 1504-2
순천이마트,전남 순천시 팔마로 191 순천이마트 1층 배스킨라빈스
순천풍덕홈플러스,전남 순천시 팔마로 222 풍덕홈플러스 3층 배스킨라빈스
순천오천,전남 순천시 오천6길 15 (오천동)
순천신대,전남 순천시 해룡면 신대리 1985-5
광양마동,전남 광양시 사동로 177-1 (마동)
광양중마,전남 광양시 중동 1650-6
광양홈플러스,전남 광양시 항만11로 70 광양홈플러스 1층 배스킨라빈스
전남벌교,전남 보성군 벌교읍 벌교리 888-10
목포석현,전남 목포시 석현동 815-1
무안삼향,전남 무안군 삼향읍 남악리 1599
무안남악,전남 무안군 삼향읍 남악리 2104
목포옥암,전남 목포시 후광대로 110
목포용해,전남 목포시 용해지구로 3 (용해동)
전남보성,전남 보성군 보성읍 보성리 867-1
목포상동,전남 목포시 하당로 264 (옥암동)
목포하당,전남 목포시 상동 987
목포북항,"전남 목포시 청호로 192(산정동,1층)"
목포역,전남 목포시 수문로 7
여수쌍봉,전남 여수시 쌍봉로 29
여수죽림,전남 여수시 소라면 죽림로 13 (죽림리)
전남영암삼호,전남 영암군 삼호읍 대불주거로 145 (용앙리)
여수학동,전남 여수시 학동 85-3 102호
여수여서,전남 여수시 여서동 220
여수소호,전남 여수시 소호동 359-2
여수웅천,전남 여수시 웅천동 1694-1
여수마리나,전남 여수시 웅천로 134 (웅천동) 108호
여수충무,전남 여수시 진남상가길 47-2
여수국동,전남 여수시 봉산동 268-11
전남장흥,전남 장흥군 장흥읍 중앙로 33-1
전남강진,전남 강진군 강진읍 남성리 5-21
군산영동,전북 군산시 중앙로 139
원광대,전북 익산시 무왕로 898
군산조촌,전북 군산시 궁포1로 24-5 (조촌동)
완주봉동,전북 완주군 봉동읍 둔산리 899-7
익산영등,전북 익산시 무왕로 13길 3
익산부송,전북 익산시 부송로 68
익산배산,전북 익산시 모현동1가 865
군산미장,전북 군산시 미장안길 3 (미장동)
군산소룡,"전북 군산시 동아로 163 (소룡동, 캐나다이레) 110호"
,전북 군산시 소룡동 1543-1
익산모현,전북 익산시 고현로 98-3
군산수송,전북 군산시 월명로 233
군산나운,전북 군산시 하나운로 63
익산동산,전북 익산시 동산동 1055-2
전북무주,전북 무주군 무주읍 단천로 107 (읍내리)
군산대,전북 군산시 황룡로 9
전북삼례,전북 완주군 삼례읍 삼례로 382 (삼례리)
전주에코세병,전북 전주시 덕진구 송천동2가 1301-2
전주에코시티,전북 전주시 덕진구 세병로 28 (송천동2가)
전주동산,전북 전주시 덕진구 편운로 6
전주송천,전북 전주시 덕진구 송천중앙로 146
전주호성,전북 전주시 덕진구 호성3길 16
전주덕진홈플러스,전북 전주시 덕진구 백제대로 771 홈플러스 2층
전주만성,전북 전주시 덕진구 만성중앙로 45 (만성동)
전북대,전북 전주시 덕진구 명륜4길 22 (금암동)
전주하가,전북 전주시 덕진구 덕진동2가 693-3
전주혁신,전북 완주군 이서면 갈산리 664-4(기지로56)
전주안골,전북 전주시 덕진구 인후동1가 765-28
전주서신,전북 전주시 완산구 온고을로 62
전주아중,전북 전주시 덕진구 건산로 248
전주중화산,전북 전주시 완산구 유연로 281 (서신동)
전주완산홈플러스,"전북 전주시 완산구 기린대로 170 (중노송동, 홈플러스) 2층"
전주고사,"전북 전주시 완산구 전주객사5길 43-3 (고사동, 전주한성관광호텔)"
전주화산,전북 전주시 완산구 중화산동2가 105-9
전주서부,전북 전주시 완산구 효자동2가 1316-4
전주효자홈플러스,"전북 전주시 완산구 용머리로 31 (효자동1가, 홈플러스)"
,전북 전주시 완산구 용머리로 45 1층
전주효자,전북 전주시 완산구 용머리로 48
전북김제,전북 김제시 동서로 294
전주효천,전북 전주시 완산구 효자동2가 1377-2
전주삼천,전북 전주시 완산구 거마남로 1
전주평화사거리,전북 전주시 완산구 평화동1가 731-12
전주평화,전북 전주시 완산구 모악로 4680
전북진안,전북 진안군 진안읍 군상리 365-9
전북부안,전북 부안군 부안읍 번영로 149
전북임실,전북 임실군 임실읍 이도리 264
정읍수성,전북 정읍시 수성동 558-51
정읍상동,전북 정읍시 충정로 85
전북고창,전북 고창군 고창읍 중앙로 235 (읍내리)
남원도통,전북 남원시 용성로 216 (도통동)
제주함덕,제주특별자치도 제주시 조천읍 조함해안로 526 (함덕리)
제주삼화,제주특별자치도 제주시 건주로 43 (도련1동)
제주중앙,제주특별자치도 제주시 중앙로 72 (이도1동)
제주신일도,제주특별자치도 제주시 고마로 104
제주시청,제주특별자치도 제주시 중앙로 224 (이도2동)
제주법원,제주특별자치도 제주시 중앙로 325-1
신제주,제주특별자치도 제주시 도령로 52 (노형동)
제주노형,제주특별자치도 제주시 월랑로 39
제주도청,제주특별자치도 제주시 신대로 124 (연동)
제주연동,제주특별자치도 제주시 국기로 9
제주외도,"제주특별자치도 제주시 우정로15길 1,104호"
제주아라,제주특별자치도 제주시 중앙로 556 (아라1동)
제주한라대,"제주특별자치도 제주시 노형동 1554, 1층(노형동)"
제주한림,제주특별자치도 제주시 한림읍 한림리 1197-1
서귀포표선,제주특별자치도 서귀포시 표선면 표선동서로 236 (표선리)
서귀포광장,제주특별자치도 서귀포시 일주동로 8674-1
서귀포혁신,제주특별자치도 서귀포시 신서로32번길 10 (강정동)
제주서귀포,"제주특별자치도 서귀포시 중정로 60 (서귀동, 김밥천국)"
제주중문,제주특별자치도 서귀포시 천제연로 181 (중문동)
서귀포대정,제주특별자치도 서귀포시 대정읍 하모상가로 49 (하모리)
아산둔포,"충남 아산시 둔포면 아산밸리중앙로 67 (석곡리, 아산테크노벨리이지더원4단지아파트)"
천안성환,충남 천안시 서북구 성환읍 성환리 449-98
천안성거,충남 천안시 서북구 성거읍 봉주로 97 (신월리)
당진기지시,"충남 당진시 송악읍 반촌로 96-1 (기지시리, 날으는산오징어)"
,"충남 천안시 서북구 성거읍 돌다리길 23-37 (요방리, 망향휴게소)"
당진신평,충남 당진시 신평면 거산리 165-4
천안차암,"충남 천안시 서북구 3공단6로 58-8 (차암동, 천안비즈타워), 106호"
천안성성,충남 천안시 서북구 성성동 685
천안서북이마트,"충남 천안시 서북구 삼성대로 20 (백석동, e마트) 지하 1층"
당진터미널,충남 당진시 수청동 984
천안먹자골목,"충남 천안시 서북구 두정로 168 (두정동, 은혜빌딩)"
천안두정,충남 천안시 서북구 두정로 244
천안백석,충남 천안시 서북구 한들3로 76 (백석동)
천안대림포레나,충남 천안시 서북구 천안대로 1012 (두정동)
천안롯데마트,충남 천안시 서북구 성정두정로 1
천안안서,"충남 천안시 동남구 각원사길 44 (안서동, 보명빌딩)"
천안신불당2호,"충남 천안시 서북구 불당26로 122 (불당동, 천안불당파크푸르지오 2단지) 108호"
당진시청,충남 당진시 시청1로 82 (읍내동)
당진,충남 당진시 당진중앙2로 76
천안터미널,충남 천안시 동남구 신부동 363-2
천안신부,충남 천안시 동남구 신부동 461-6 도솔빌딩
천안신불당,"충남 천안시 서북구 불당25로 138 (불당동) 1층 106,107호"
천안불당,"충남 천안시 서북구 불당17길 27 (불당동, 그랜드플라자)"
천안봉명,충남 천안시 서북구 쌍용동 879
천안역,충남 천안시 동남구 대흥동 299-7
아산탕정,충남 아산시 탕정면 명암리 935-2
천안쌍용,충남 천안시 서북구 쌍용동 1539
천안불당프라디움,충남 천안시 서북구 불당동 1280
천안아산트레이더스,충남 아산시 배방읍 장재리 1760 이마트트레이더스 천안아산점
천안이마트,"충남 천안시 서북구 충무로 187 (쌍용동, E 마트)"
천안홈플러스,충남 천안시 동남구 천안대로 574
아산신창,충남 아산시 신창면 남성길 134 (남성리)
천안신방,충남 천안시 동남구 수곡2길 8-3
탕정역,"충남 아산시 탕정면 매곡중앙로 70 (매곡리, 한들물빛도시지웰시티센트럴푸르지오2단지)"
아산모종,충남 아산시 번영로234번길 2 (모종동) 1층
,충남 아산시 번영로234번길 2
아산온양,충남 아산시 온궁로 26
탕정한들물빛,충남 아산시 배방읍 장재리 0
천안청수,충남 천안시 동남구 청당동 492
아산용화RE~0629,충남 아산시 온천동 582
아산배방,충남 아산시 배방읍 모산로 127
천안청당하늘채,"충남 천안시 동남구 광풍로 1822 (청당동, 아이지타워)"
아산풍기,충남 아산시 남부로 321-21 (풍기동)
아산북수,충남 아산시 배방읍 북수리 1189
천안신방통정,충남 천안시 동남구 통정11로 57 (신방동)
천안목천,"충남 천안시 동남구 목천읍 충절로 897 (신계리, SK광명주유소)"
서산성연,충남 서산시 성연면 성연3로 53 (일람리)
충남예산,충남 예산군 예산읍 역전로140번길 1
서산동문,충남 서산시 안견로 185
서산광장,충남 서산시 서령로 3
충북광혜원,충북 진천군 광혜원면 광혜원리 442-4번지
충북금왕,충북 음성군 금왕읍 무극로 277 (무극리)
충북혁신,충북 음성군 맹동면 대하3길 2 (동성리)
충북덕산,충북 진천군 덕산읍 시가로 4 (두촌리)
충북진천,충북 진천군 진천읍 읍내리 95-5
충북음성,충북 음성군 음성읍 시장로 91 (읍내리)
충주기업도시,"충북 충주시 중앙탑면 원앙9길 15 (용전리, e편한세상 충주)"
오창2산단,충북 청주시 청원구 오창읍 주성리 577 101호
충북증평,충북 증평군 증평읍 중앙로 213
충북오창,충북 청주시 청원구 오창읍 오창대로 315
충주롯데마트,충북 충주시 봉계1길 49 롯데마트충주점내 2층
충주연수,충북 충주시 번영대로 62
청주옥산,충북 청주시 흥덕구 옥산면 청주역로 625 (오산리)
충주국원,충북 충주시 연수동산로4길 1
청주테크노폴리스,충북 청주시 흥덕구 송화로 180 (송절동)
충북오송,충북 청주시 흥덕구 오송읍 오송생명로 186
충주용산,충북 충주시 형설로 90 (용산동)
충주호암,충북 충주시 호암동 1205
청주율량,충북 청주시 상당구 공항로 126
청주주성,충북 청주시 청원구 주성동 충청대로 174 한성빌딩 101호
청주지웰,충북 청주시 흥덕구 복대동 288-122
청주봉명,충북 청주시 흥덕구 봉명동 2689
충북괴산,충북 괴산군 괴산읍 읍내로11길 12-1 (동부리)
청주하복대,충북 청주시 흥덕구 진재로 49 (복대동) 1층
청주강서,충북 청주시 흥덕구 강서로 121 (강서동)
청주사창,충북 청주시 흥덕구 1순환로 664 1층 배스킨라빈스
청주북문,"충북 청주시 상당구 사직대로 368-1 (북문로1가, 민병회치과)"
청주개신,"충북 청주시 서원구 복대로 31 (개신동, 갤러리타워)"
청주모충,충북 청주시 서원구 개신동 2-41
청주가경홈플러스,충북 청주시 흥덕구 서부로 1291 청주가경홈플러스 1층
청주금천,충북 청주시 상당구 금천동 279
청주수곡,충북 청주시 서원구 수곡동 875
청주산남,충북 청주시 흥덕구 산남로 38 산남렉슬상가 106호
청주분평,충북 청주시 흥덕구 월평로 4 대상탑존빌딩 1층
청주동남,충북 청주시 상당구 용암동 3076
청주용암,충북 청주시 상당구 중흥로 54
청주하나로마트,충북 청주시 상당구 무농정로 32 청주하나로클럽 1층
청주방서,충북 청주시 상당구 방서동 247-9
제천하소,충북 제천시 하소로 42 (하소동)
제천강저,충북 제천시 청풍호로 100 (강제동) 1층
제천청전,충북 제천시 청전대로 177
제천중앙,충북 제천시 의림대로 112
제천이마트,충북 제천시 장평천로 11 이마트제천점내 2층
죽암휴게소(하행),"충북 청주시 서원구 현도면 경부고속도로 289 (선동리, 죽암휴게소 부산방향)"
충북보은,충북 보은군 보은읍 삼산로 20
충북단양,충북 단양군 단양읍 삼봉로 280
충북옥천,충북 옥천군 옥천읍 금구리 16-1
충북영동,충북 영동군 영동읍 중앙로3길 2
