매장명,주소
진주금산,경남 진주시 금산면 중천로 83 (장사리)
진주대안,경남 진주시 대안동 18-11
진주이마트,"경남 진주시 진양호로 477 (인사동, 이마트) 지하 1층"
진주신안,경남 진주시 진양호로 288
진주하대,"경남 진주시 하대로 85 (하대동, 럭스빌) 1층 104호"
진주평거,경남 진주시 새평거로 129 (평거동)
진주과학기술대,경남 진주시 동진로 36-1 (칠암동) 1층
경남함안,경남 함안군 가야읍 가야로 33
진주혁신도시,경남 진주시 사들로 97 (충무공동)
진주충무공동,경남 진주시 충무공동 82-5
진주경상대,경남 진주시 가좌동 639-6
경남하동,경남 하동군 하동읍 읍내리 224-14
신진주역,경남 진주시 가좌동 2064-2
창원감계,"경남 창원시 의창구 북면 감계로 304 (감계리), 1층 101호"
마산호계,경남 창원시 마산회원구 내서읍 호계리 182
마산내서,경남 창원시 마산회원구 내서읍 삼계리 27-1 삼계스포렉스 109호
경남사천,경남 사천시 사천읍 진삼로 1462
창원소답,경남 창원시 의창구 읍성로 55
창원팔용,경남 창원시 의창구 팔용로 428 122호
마산합성,"경남 창원시 마산회원구 3.15대로 744 (합성동, 송하빌딩) 1층 103호"
김해진영,경남 김해시 진영읍 김해대로361번길 8 106호
창원유니시티,경남 창원시 의창구 중동 784-1
김해본산,경남 김해시 진영읍 진영리 1629-4
창원도계,경남 창원시 의창구 도계로60번길 5-19
창원동읍,"경남 창원시 의창구 동읍 의창대로 856 (용잠리, 원창호수아파트)"
마산석전,"경남 창원시 마산회원구 율림교로 13 (양덕동, 메트로엠) 메트로M상가 1층 105호"
마산회원,경남 창원시 마산회원구 북성로 103
마산양덕홈플러스,경남 창원시 마산회원구 삼호로 56
창원상남시장,경남 창원시 성산구 마디미로 16번길 3
창원시티세븐,"경남 창원시 의창구 원이대로 320 (대원동, 더시티세븐) 1층"
마산합포,경남 창원시 마산합포구 중앙동3가 2-3 108호 (315대로 255)
창원홈플러스,경남 창원시 의창구 창원대로 415 1층
,경남 창원시 의창구 대원동 121 1층
창원봉곡,경남 창원시 의창구 봉곡로123번길 2 (봉곡동)
창원반송,경남 창원시 성산구 원이대로473번길 9
신마산,경남 창원시 마산합포구 월영동2길 2
창원용호,경남 창원시 의창구 용호동 73-2
마산월영,경남 창원시 마산합포구 월영동 614-10
창원이마트,경남 창원시 성산구 원이대로 608 1층
창원상남사거리,경남 창원시 성산구 상남동 22-8
창원상남,경남 창원시 성산구 상남동 45-1 성원종합상가 1층 1121호
영천동부,경북 영천시 동부로 49
문경모전,경북 문경시 당교로 261 (모전동)
경북상주,경북 상주시 무양동 291-5
상주시청,경북 상주시 남성동 115-3
경북예천,경북 예천군 예천읍 노하리 75-17
영주가흥,경북 영주시 가흥동 1728-2
경북영주,경북 영주시 번영로 154
영주홈플러스,경북 영주시 휴천3동 329-1
경북도청,경북 예천군 호명면 새움3로 20 (산합리)
구미선산,경북 구미시 선산읍 남문로 47-2 (완전리)
김천이마트,경북 김천시 시청로 75 1층 이마트內 1층
안동옥동,경북 안동시 경북대로 423
김천역,경북 김천시 김천로 131 (평화동)
안동삼산,경북 안동시 남문로 22-15
안동홈플러스,"경북 안동시 경동로 656 (운흥동, 홈플러스) 3층"
안동정하,경북 안동시 정하동 282-3
김천율곡,경북 김천시 혁신4로 61 (율곡동)
김천혁신,"경북 김천시 혁신3로 15 (율곡동, 율곡스퀘어 Ⅵ) 1층"
구미봉곡,경북 구미시 봉곡로 96
구미원호,경북 구미시 고아읍 원호리 439-5
구미문성,경북 구미시 고아읍 들성로 237 (문성리)
구미원평,경북 구미시 구미중앙로 94
구미송정,경북 구미시 송정동 4-5
구미형곡,경북 구미시 신시로 77
구미신평,경북 구미시 신비로 14 (신평동)
구미확장,경북 구미시 산동면 신당2로 57 (신당리)
구미광평홈플러스,경북 구미시 구미대로 174 홈플러스內 1층
경북의성,경북 의성군 의성읍 후죽리 542-4
구미옥계,경북 구미시 옥계북로 39 삼구트리니엔
구미상모,경북 구미시 상모로 48
동구미이마트,경북 구미시 임수동 92-28 이마트內 1층
구미북삼,경북 칠곡군 북삼읍 금오대로 288
구미인동,경북 구미시 황상동 318-5
구미구평,경북 구미시 인동36길 5
칠곡석적,경북 칠곡군 석적읍 중리 140-1
왜관역,경북 칠곡군 왜관읍 중앙로 197-1 (왜관리)
경북성주,경북 성주군 성주읍 성산6길 2 (성산리)
경북울진,경북 울진군 울진읍 울진중앙로 113 (읍내리)
경북고령,경북 고령군 대가야읍 헌문리 241
경산하양,경북 경산시 하양읍 하양로 90
경산이마트,경북 경산시 옥산로 227 경산이마트
경산정평,경북 경산시 대학로 30 (정평동)
경산중산,"경북 경산시 펜타힐즈2로 27 (중산동, 중산타워)"
경산홈플러스,경북 경산시 중방동 896 1층 배스킨라빈스 경산홈플러스점
영천시청,경북 영천시 문외동 12
경산영대,경북 경산시 대학로 291
경북영덕,경북 영덕군 영덕읍 남석리 69-26
경산신대,경북 경산시 압량읍 압독3로 25 (신대리)
경산진량,경북 경산시 진량읍 신상리 1225-8
경산옥곡,경북 경산시 옥곡동 815-1
광주첨단,"광주 광산구 첨단중앙로181번길 42-4 상가 1호, 2호"
광주월계,광주 광산구 첨단중앙로 96 110호
광주양산,광주 북구 하서로 403
광주신용,광주 북구 첨단연신로133번길 4 (신용동)
광주일곡,광주 북구 설죽로 514
광주연제,광주 북구 양산동 660-16
광주신창,광주 광산구 신창로 132 (신창동)
광주장덕,광주 광산구 풍영로 271 (장덕동)
flow광주수완,광주 광산구 장신로147번길 6-2 (수완동)
광주매곡,광주 북구 서하로 131 (매곡동)
광주수완,광주 광산구 장신로 120
광주수완롯데마트,광주 광산구 장신로 98 3층
광주문흥,"광주 북구 문산로 43-2 (문흥동, 라인아파트상가동 12호)"
광주신가,"광주 광산구 신창로 34 (신창동), 1층"
광주동림푸른마을,광주 북구 북문대로 241 (동림동)
동광주홈플러스,광주 북구 동문대로 200 홈플러스점 1층
광주용봉,광주 북구 용봉택지로 94 (용봉동)
광주운암,광주 북구 북문대로 89 벽산블루밍 상가
전남대,광주 북구 우치로 94-1 (용봉동)
광주운남,광주 광산구 운남동 773-6
광주하남홈플러스,광주 광산구 하남동 1 1층
광주말바우,광주 북구 동문대로 96 (두암동)
광주동림,광주 서구 하남대로 680번길 1
광주월곡,광주 광산구 사암로 275 1층
광주두암,광주 동구 산수동 681
광주터미널,"광주 서구 무진대로 904 (광천동, 유스퀘어(광천터미널)), 1층 22호"
광주하남,광주 광산구 사암로216번길 30 (우산동)
광주계림센트럴,광주 동구 경양로 237 (계림동)
광주이마트,광주 서구 화정동 12-13 이마트 광주점 1층
광주쌍촌,광주 서구 상무민주로 101
광주상무,광주 서구 치평로 60
광주운천,광주 서구 쌍촌동 981-19
조선대,광주 동구 필문대로 271
광주충장,광주 동구 서석로 51 (금남로1가)
광주황금,"광주 동구 황금동 102, 1층"
광주염주,광주 서구 월드컵4강로 93-1
광주백운,"광주 남구 제중로 136 (서동, 오베로)"
광주선운,"광주 광산구 선운중앙로 43, 211동 지하1층 B101호, B102호 (선암동, 광주 선운지구 EG the1 2단지)"
광주화정,"광주 서구 화운로 24 (화정동, 유니버시아드 힐스테이트 3단지)"
광주방림,광주 남구 방림동 346-1
광주주월,"광주 남구 대남대로223번길 10 (주월동, 양우 내안애 프레스티지) 111동"
광주송정,광주 광산구 광산로 32
광주학동,광주 동구 남문로 664
광주금호,광주 서구 금화로 93
광주풍암,광주 서구 풍암중앙로 55
광주봉선,광주 남구 봉선로 164
광주마재,광주 서구 회재로 887 (금호동)
광주진월,광주 남구 서문대로 648 1층
광주노대,광주 남구 노대동 851
광주효천,광주 남구 임암동 879
대구칠곡홈플러스,대구 북구 동암로12길 8 칠곡홈플러스 1층
대구칠곡,"대구 북구 학정로 439,109호(동천동,칠곡메가타운)"
대구보건대,대구 북구 태전로 57 (태전동) 1층
대구동천,대구 북구 구암로 143
대구금호,대구 북구 한강로 46 (사수동)
대구세천,대구 달성군 다사읍 세천리 1588
칠곡매천,대구 북구 매전로 80
대구죽곡,"대구 달성군 다사읍 달구벌대로 881(103호, 104호)"
대구서재,대구 달성군 다사읍 서재로 117 (서재리)
대구연경,대구 북구 동화천로 245 (연경동)
대구강창역,대구 달서구 호산로 137 (파호동)
대구동서변,"대구 북구 호국로 219 (서변동, 대성골든프라자1차)"
대구신당,대구 달서구 계대동문로 26
대구성서이곡,대구 달서구 계대동문로 123
대구팔달시장역,대구 서구 비산동 1043 1층 103호
대구성서성산,대구 달서구 성지로 102 (용산동)
대구용산,대구 달서구 용산로 218
대구이시아폴리스,대구 동구 봉무동 1539-8
대구침산,대구 북구 침산로 153 2차 푸르지오상가 1층 c-5호
대구평리,대구 서구 서대구로 112 (평리동)
대구성서홈플러스,대구 달서구 용산동 231-11
대구산격,대구 북구 동북로 163
대구경대북문,대구 북구 산격동 1341-2
대구두류,"대구 서구 달구벌대로 1691, 109호 (내당동)"
대구복현,"대구 북구 복현로 71 (복현동, 복현블루밍상가) 1층 101호"
내당홈플러스,대구 서구 달구벌대로 1821 (내당동)
대구칠성,대구 북구 칠성동2가 371-2 1층
,대구 북구 중앙대로 526 (칠성동2가) 1층
대구본리,대구 달서구 와룡로 124
대구남산,"대구 중구 달구벌대로 1950 (남산동, 남산그린타운)"
대구성당래미안,대구 달서구 본리동 145-2
대구대현,대구 동구 신암로 94-1 (신암동)
대구동성로,대구 중구 동성로 33
대구옥포,"대구 달성군 옥포면 교항리 2918번지 107, 108호"
대구동아쇼핑,대구 중구 달구벌대로 2085
대구신암,대구 동구 아양로 49
대구월성네거리,"대구 달서구 조암로 6 (월성동), 1층"
대구삼덕,대구 중구 공평로 45
대구대천,대구 달서구 대천동 441-1
대구서부,"대구 달서구 구마로 264 (송현동), 1층"
대구화원역,대구 달성군 화원읍 비슬로 2599 (천내리)
대구월배이마트,대구 달서구 대천동 555
대구아양교역,"대구 동구 아양로 246-1 (효목동) 80-11, 1층"
동대구역사,"대구 동구 동대구로 550 (신암동, 동대구역)"
대구대곡역,대구 달성군 화원읍 구라리 1735-4
대구월성,대구 달서구 상원로 128 (상인동)
대구신세계,대구 동구 동부로 149 신세계백화점 9층
동대구터미널,대구 동구 동부로30길 3-2 (신천동)
대구상인홈플러스,"대구 달서구 월배로 183 (상인동, 상인 대성 스카이렉스) 105동"
,대구 달서구 월배로 183
신탄진,대전 대덕구 신탄진로 816
대전송강,대전 유성구 구즉로 70-1 (송강동)
대전관평,대전 유성구 테크노4로 137
대전반석,대전 유성구 반석로 23
대전지족,"대전 유성구 지족동 986-2 105, 105-1, 106-1호"
대전EXPO,대전 유성구 엑스포로 448 엑스포중앙상가 104호
대전신성,대전 유성구 신성남로 45
대전노은,대전 유성구 노은로 170
대전죽동,"대전 유성구 유성대로 871 죽동 1층 101(일부),102,103호"
대전충남대,대전 유성구 대학로151번길 27
대전유성,대전 유성구 봉명동 469-46 유성자이 104호
대전유성홈플러스,대전 유성구 한밭대로 502 유성홈플러스내 1층
대전월평,대전 서구 청사서로 40 1층 배스킨라빈스
대전월평트레이더스,대전 서구 월평동 510
대전학하,대전 유성구 덕명동 601-11
대전둔산이마트,대전 서구 둔산동 959-2 대전둔산이마트 內 1층
대전둔산햇님,"대전 서구 둔산북로 175 (둔산동, 햇님아파트) 햇님상가 1층"
대전도안,대전 유성구 도안대로 512-12
대전둔산,"대전 서구 둔산로 20,104(둔산동)"
대전송촌,대전 대덕구 송촌동 464-2
대전갈마,대전 서구 갈마동 378-14
대전아이파크시티,"대전 유성구 상대복용로29번길 52 (상대동, 대전아이파크시티 1단지)"
대전충남고,대전 서구 문정로 166
대전탄방,"대전 서구 문정로 96(탄반동,101호)"
대전한남대,대전 대덕구 한남로 19
대전비래,대전 대덕구 비래동 126-6
대전터미널서관,대전 동구 동서대로 1689 대전터미널서관 1층
대전목원대,대전 서구 도안북로93번길 7
대전용문,"대전 서구 계룡로 634-1 (용문동), 1층"
대전가장,대전 서구 갈마로 262 벽산맑은아침APT상가 502동 107호
대전중촌,"대전 중구 목중로 12-1 (중촌동), 1층"
대전수목토,"대전 서구 원도안로179번길 7-17, 1층 일부호(도안동)"
대전배재대,대전 서구 배재로 162
대전은행본점,"대전 중구 중앙로164번길 5,1층(은행동)"
대전태평,대전 중구 유천동 326-15
대전대동역,대전 동구 계족로 167
대전SAY,대전 중구 문화동 1-16 백화점 세이 별관 5층
대전문화홈플러스,대전 중구 계백로 1690 문화홈플러스점 1층
대전도마,대전 서구 도마동 174-4
대전용운,대전 동구 새울로 107 (용운동) 1층
대전가수원,대전 서구 가수원동 1061번지 1층
대전관저,대전 서구 관저동 1109 신선타워 101호
대전관저더샵,대전 서구 관저동 1992-1
대전마치광장,대전 서구 구봉로 129 (관저동)
대전산성,대전 중구 대둔산로 397 (산성동) 1층 103호
대전판암,대전 동구 판암동 466
대전복수,대전 서구 복수동로 496.1층
대전가오,대전 동구 가오동 646 가오동 GO빌딩 1층 106호
대전산내,대전 동구 산내로 1329 (낭월동)
부산금곡,부산 북구 금곡동 1880-6
부산정관,부산 기장군 정관면 정관2로 모전리 735번지
부산지사,부산 강서구 지사동 1186
부산화명,부산 북구 화명신도시로 127
부산화명2호,"부산 북구 금곡대로285번길 5 (화명동, 레지던스라움)"
부산화명강변,부산 북구 화명동 2315-2 (학사로 3)
부산정관홈플러스,부산 기장군 정관읍 정관5로 50 홈플러스 1층
부산남산,부산 금정구 남산동 105-9 (중앙대로 2035)
부산정관구연,부산 기장군 정관읍 매학리 749-6
부산덕천,부산 북구 만덕대로16번길 7 (덕천동)
부산구포,부산 북구 백양대로 1192
부산구남역,"부산 북구 백양대로 1057 (구포동, 미래)"
금정이마트,"부산 금정구 중앙대로1841번길 24 (구서동, (주)이마트금정점)"
부산구서역,부산 금정구 구서동 415-101
부산만덕,부산 북구 덕천로 237
부산만덕역,부산 북구 만덕동 823-33
부산장전역,부산 금정구 부곡동 225-58
부산대,부산 금정구 장전동 420-21
부산대역,부산 금정구 금정로60번길 37 (장전동)
사상이마트0629,부산 사상구 괘법동 531-2 이마트 2층 배스킨라빈스
부산동래홈플러스,부산 동래구 중앙대로 1523 홈플러스 지하 1층
부산사상,부산 사상구 사상로 208(괘법동 535-11)
부산동래,부산 동래구 중앙대로1381번길 37 (온천동)
부산명륜아이파크,"부산 동래구 시실로 22, 1층 (명륜동)"
부산미남,부산 동래구 아시아드대로 221 (온천동)
부산사직,부산 동래구 사직동 93-8
부산동래역,부산 동래구 명륜로 129번길 2
부산아시아드홈플러스,부산 연제구 종합운동장로 7
부산대공원,부산 부산진구 초읍동 171-16
부산거제리,부산 연제구 아시아드대로 96
부산학장,"부산 사상구 대동로 103 (학장동, 홍익빌딩)"
부산교대,부산 연제구 명륜로2번길 7
부산신호,부산 강서구 신호산단4로 46 (신호동)
부산명장,부산 동래구 명안로85번길 52
부산명지더샵,부산 강서구 명지동 3594 판매시설동 103호
부산명지휴포레,부산 강서구 명지국제11로 27 (명지동)
부산주례,부산 사상구 가야대로 362
부산당감,부산 부산진구 당감동 421-1
부산개금역,"부산 부산진구 가야대로 450 (개금동, 개금역금강펜테리움더스퀘어아파트)"
부산반송,부산 해운대구 아랫반송로 17 (반송동)
부산연산,부산 연제구 연산동 723-17
부산국제신도시,부산 강서구 명지동 3357-7
부산시청,부산 연제구 시청로 26-1 (연산동) 1층
부산안락,부산 동래구 안락동 633-4
부산연산연동,"부산 연제구 과정로 320 (연산동, 월드파크4)"
부산안락SK,부산 동래구 안락동 469-3
부산반여,부산 해운대구 선수촌로 101-1
부산부암롯데마트,부산 부산진구 신천대로 241 4층
부산가야,부산 부산진구 가야대로 589 (가야동)
서면트레이더스,"부산 부산진구 시민공원로 31 (부암동, 이마트트레이더스서면점)"
SPC스퀘어,서울 강남구 역삼동 831-23 2층
강남대로,서울 강남구 강남대로 442 (역삼동)
강남신논현,서울 서초구 강남대로69길 8 (서초동)
